word	polarity	subjectivity
#botequimtuitajoaquimrt	0	-0.09
#br	0.16	0.12
#brasak	0	-0.09
#brasil	0	-4.31
#brasilenhosenchile	0	-0.09
#brasilintechnicolor	0	-0.09
#brasilresgatebrasileirosnochile	0.08	0.06
#brasilxirlanda	0	-0.09
#brazil	0	-0.43
#brazilianfan	0.08	0.06
#brazilintechnicolor	0	-0.09
#breakingnews	0	-0.09
#brinks	-0.08	0.04
#brio	0	-0.09
#brobio	0	-0.17
#brokenpromise	0	-0.09
#brunoneves	0	-0.09
#brwantsddlovato	0	-0.09
#bsas	0	-0.09
#bsb	0	-0.09
#bsbfanschile	0.32	0.23
#bu	0.94	0.67
#bua	0	-0.09
#buap	0	-0.09
#bubu	0	-0.17
#bucadorde	0	-0.09
#bucadordepersonas	0	-0.09
#bucalemu	0	-0.09
#bucalemuy	0.08	0.06
#bucapersonas	-0.08	0.02
#bucapersonasnecesito	0	-0.09
#buchupureo	0	-3.19
#budapest	0	-0.09
#bue	0	-0.09
#buenasnoticias	0.32	0.24
#buenasvibraschile	0.08	0.06
#buenavibra	0.16	0.12
#buenavibrachile	-0.08	0.06
#bueno	0.08	0.06
#buenosaires2009	0.08	0.06
#buenosdias	-0.02	0.12
#buenosdiatodos	0.08	0.06
#bueras	-0.08	0.06
#bui	0	-0.09
#buin	0	-0.78
#bulnes	0	-0.69
#bunkeradicta	0	-0.09
#burrodaporra	0	-0.09
#bus	0	-2.41
#busc	0.16	-0.17
#busca	1.54	-5
#buscacuequeros	0	-0.17
#buscador	0	-1.72
#buscados	0	-0.17
#buscaelderes	0	-0.09
#buscaen	0	-0.34
#buscagente	0	-0.34
#buscamos	0	-0.43
#buscan	0	-0.69
#buscando	0	-0.43
#buscandoegipcios	0	-0.09
#buscap	0	-1.64
#buscape	0.32	0.15
#buscaper	0	-1.81
#buscaperbuscamos	0	-0.09
#buscapers	0	-1.12
#buscaperso	0.16	0.07
#buscaperson	0	-0.09
#buscapersona	0.16	-5
#buscapersonal	0	-0.09
#buscapersonas	5	-5
#buscapersonasaber	0	-0.17
#buscapersonasbusco	0	-0.09
#buscapersonasdaniela	0	-0.09
#buscapersonasnecesito	0	-0.09
#buscapersonasrt	0	-0.09
#buscapersonasse	0	-0.09
#buscapersonasu00a0miriamu00a0llanosu00a0	0	-0.09
#buscapersonasurge	0	-0.09
#buscapersonasurgente	0	-0.09
#buscapersonss	0	-0.09
#buscaprsonas	0	-0.17
#buscar	0	-0.43
#buscargente	0	-0.09
#buscarpersona	0	-0.34
#buscarpersonas	0	-5
#buscasudterremotochile	0	-0.17
#busco	2.18	1.08
#buscoa	-0.08	-0.04
#buscoen	-0.35	-5
#buscoenchile	0.08	0.01
#buscoentalca	0	-0.09
#buscoentalcahuano	0	-0.26
#buscoinfo	0	-0.09
#buscopersona	-0.08	-0.73
#buscopersonas	-0.04	-5
#buscopersonasnecesito	0	-0.09
#busdelcabrero	0.08	0.06
#busescruzdelsur	0	-0.09
#busqueda	0	-0.17
#bvbra	0.4	0.3
#bxhouseparty	0	-0.09
#byronquero	0	-0.17
#c	-0.16	-1.8
#c13	-0.33	0.13
#c5n	0	-0.17
#ca	-0.18	-0.15
#caba	0	-0.09
#cabelo	0	-0.09
#cabelos	0	-0.09
#cabezapartida	0	-0.09
#cablevision	0	-0.09
#cabrer	0	-0.09
#cabrero	0.21	0.18
#cacau	0.08	-0.56
#cacaucobra	0	-0.09
#cacaufalsa	0	-0.09
#cacaufica	0	-0.09
#cacaufora	0	-0.26
#cacaunaplayboy	0	-0.09
#cacaunopaparazzo	0	-0.17
#cacaunoparedu00c3o	0	-0.09
#cacaupr	0	-0.09
#cacauscave	0	-0.09
#cacauscavel	0	-0.34
#cacetoba	0	-0.09
#cacetobas	0	-0.09
#cachando	0	-0.6
#cachorrogrande	0	-0.17
#cade	0	-0.69
#cadena	0	-0.34
#cadenadeluzparachileylospaiseafectados	0	-0.26
#cadenadeoraci	0	-0.09
#cadenadeoracionporchile	0.08	-1.68
#caelacedula	0	-0.09
#caf	0	-0.09
#cafechileayudatuiter	0.08	0.06
#cafecomblues	0	-0.09
#cafedelasciencias	0	-0.09
#cafeperiodismo	0	-0.09
#cafeteras	0	-0.17
#cafetuite	0	-0.09
#cafetuiter	-0.04	0.09
